년도,태풍번호,분석시각,위도,경도,태풍등급
2023,16,2023-10-18 06:00,17.6N,108.9E,TS
2023,16,2023-10-18 12:00,18.4N,108.4E,TS
2023,16,2023-10-18 18:00,19.3N,108.2E,TS
2023,16,2023-10-19 00:00,19.7N,108.4E,TS
2023,16,2023-10-19 06:00,19.9N,108.4E,TS
2023,16,2023-10-19 12:00,21.1N,109.2E,TS
2023,16,2023-10-19 18:00,21.3N,109.3E,TS
2023,16,2023-10-20 00:00,21.5N,109.7E,TS
2023,16,2023-10-20 06:00,20.8N,109.7E,TS
2023,16,2023-10-20 12:00,20.5N,109.8E,TD
